Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8,0,6,6.370573249569134,4.917235999528202,12.470267998651252,1040.0,0.275756055694807,0.0,6,6,6,6,12,12,12,12,12,12,12
GET,/book/Spring%20Festival%202021/Simply%20Lift,12,0,5.15741699928185,6.622222833205645,5.15741699928185,18.496765000236337,1554.0,0.4136340835422105,0.0,6,6,6,6,6,18,18,18,18,18,18
GET,/displayPoints,10,0,5,5.714405999788141,4.607123999448959,10.95516599889379,2035.1,0.3446950696185087,0.0,5,5,5,5,11,11,11,11,11,11,11
GET,/logout,12,0,12,12.677493667069939,11.967164000452613,14.36322100016696,1220.0,0.4136340835422105,0.0,13,13,13,13,13,14,14,14,14,14,14
POST,/purchasePlaces,10,0,7,8.155322099628393,5.8531419999781065,20.315867999670445,2139.5,0.3446950696185087,0.0,7,7,7,7,20,20,20,20,20,20,20
POST,/showSummary,6,0,7,7.100908499827104,6.886881999889738,7.341384998653666,2542.0,0.20681704177110524,0.0,7,7,7,7,7,7,7,7,7,7,7
,Aggregated,58,0,6,7.997653724017035,4.607123999448959,20.315867999670445,1700.103448275862,1.9992314037873506,0.0,6,7,12,12,13,14,18,20,20,20,20
