Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1626769862,6,GET,/logout,0.400000,0.000000,13,13,13,13,13,13,13,13,13,13,13,2,0,12,12.691072499364964,11.996679999356274,13.385464999373653,1220.0
1626769862,6,POST,/purchasePlaces,0.600000,0.000000,7,7,7,20,20,20,20,20,20,20,20,5,0,7,9.39302399965527,5.8531419999781065,20.315867999670445,2508.0
1626769862,6,,Aggregated,1.600000,0.000000,11,12,13,13,18,20,20,20,20,20,20,12,0,7,10.388394332797665,5.111711998324608,20.315867999670445,1890.4166666666667
1626769863,6,GET,/,0.200000,0.000000,12,12,12,12,12,12,12,12,12,12,12,2,0,5.111711998324608,8.79098999848793,5.111711998324608,12.470267998651252,1040.0
1626769863,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,1,0,18.496765000236337,18.496765000236337,18.496765000236337,18.496765000236337,1554.0
1626769863,6,GET,/displayPoints,0.400000,0.000000,11,11,11,11,11,11,11,11,11,11,11,2,0,5.279556000459706,8.117360999676748,5.279556000459706,10.95516599889379,2035.5
1626769863,6,GET,/logout,0.400000,0.000000,12,12,13,13,13,13,13,13,13,13,13,3,0,12,12.6255059997978,11.996679999356274,13.385464999373653,1220.0
1626769863,6,POST,/purchasePlaces,0.600000,0.000000,7,7,7,20,20,20,20,20,20,20,20,5,0,7,9.39302399965527,5.8531419999781065,20.315867999670445,2508.0
1626769863,6,,Aggregated,1.600000,0.000000,11,12,12,13,18,20,20,20,20,20,20,13,0,11,10.550392691864264,5.111711998324608,20.315867999670445,1838.8461538461538
1626769864,6,GET,/,0.142857,0.000000,12,12,12,12,12,12,12,12,12,12,12,2,0,5.111711998324608,8.79098999848793,5.111711998324608,12.470267998651252,1040.0
1626769864,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.142857,0.000000,18,18,18,18,18,18,18,18,18,18,18,1,0,18.496765000236337,18.496765000236337,18.496765000236337,18.496765000236337,1554.0
1626769864,6,GET,/displayPoints,0.285714,0.000000,5,5,11,11,11,11,11,11,11,11,11,3,0,5.08244600132457,7.105722666892689,5.08244600132457,10.95516599889379,2035.3333333333333
1626769864,6,GET,/logout,0.285714,0.000000,13,13,13,13,13,13,13,13,13,13,13,4,0,12,12.665649499922438,11.996679999356274,13.385464999373653,1220.0
1626769864,6,POST,/purchasePlaces,0.571429,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769864,6,POST,/showSummary,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,1,0,6.984575000387849,6.984575000387849,6.984575000387849,6.984575000387849,2542.0
1626769864,6,,Aggregated,1.428571,0.000000,7,12,12,13,18,20,20,20,20,20,20,17,0,7,9.903261588025249,5.08244600132457,20.315867999670445,1851.3529411764705
1626769865,6,GET,/,0.250000,0.000000,12,12,12,12,12,12,12,12,12,12,12,2,0,5.111711998324608,8.79098999848793,5.111711998324608,12.470267998651252,1040.0
1626769865,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.125000,0.000000,6,6,18,18,18,18,18,18,18,18,18,3,0,6,9.854637000292618,5.46660700092616,18.496765000236337,1554.0
1626769865,6,GET,/displayPoints,0.250000,0.000000,5,5,11,11,11,11,11,11,11,11,11,3,0,5.08244600132457,7.105722666892689,5.08244600132457,10.95516599889379,2035.3333333333333
1626769865,6,GET,/logout,0.375000,0.000000,13,13,13,13,13,13,13,13,13,13,13,4,0,12,12.665649499922438,11.996679999356274,13.385464999373653,1220.0
1626769865,6,POST,/purchasePlaces,0.625000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769865,6,POST,/showSummary,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,2,0,7,7.086351000907598,6.984575000387849,7.188127001427347,2542.0
1626769865,6,,Aggregated,1.625000,0.000000,7,12,12,13,18,20,20,20,20,20,20,20,0,7,9.330535999924905,5.08244600132457,20.315867999670445,1856.15
1626769866,6,GET,/,0.250000,0.000000,12,12,12,12,12,12,12,12,12,12,12,2,0,5.111711998324608,8.79098999848793,5.111711998324608,12.470267998651252,1040.0
1626769866,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.125000,0.000000,6,6,18,18,18,18,18,18,18,18,18,3,0,6,9.854637000292618,5.46660700092616,18.496765000236337,1554.0
1626769866,6,GET,/displayPoints,0.250000,0.000000,5,5,11,11,11,11,11,11,11,11,11,3,0,5.08244600132457,7.105722666892689,5.08244600132457,10.95516599889379,2035.3333333333333
1626769866,6,GET,/logout,0.375000,0.000000,13,13,13,13,13,13,13,13,13,13,13,4,0,12,12.665649499922438,11.996679999356274,13.385464999373653,1220.0
1626769866,6,POST,/purchasePlaces,0.625000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769866,6,POST,/showSummary,0.000000,0.000000,7,7,7,7,7,7,7,7,7,7,7,2,0,7,7.086351000907598,6.984575000387849,7.188127001427347,2542.0
1626769866,6,,Aggregated,1.625000,0.000000,7,12,12,13,18,20,20,20,20,20,20,20,0,7,9.330535999924905,5.08244600132457,20.315867999670445,1856.15
1626769867,6,GET,/,0.200000,0.000000,12,12,12,12,12,12,12,12,12,12,12,2,0,5.111711998324608,8.79098999848793,5.111711998324608,12.470267998651252,1040.0
1626769867,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.200000,0.000000,6,6,18,18,18,18,18,18,18,18,18,4,0,5.379903999710223,8.735953750147019,5.379903999710223,18.496765000236337,1554.0
1626769867,6,GET,/displayPoints,0.300000,0.000000,5,5,11,11,11,11,11,11,11,11,11,3,0,5.08244600132457,7.105722666892689,5.08244600132457,10.95516599889379,2035.3333333333333
1626769867,6,GET,/logout,0.400000,0.000000,13,13,13,13,13,13,13,13,13,13,13,5,0,13,12.679799200122943,11.996679999356274,13.385464999373653,1220.0
1626769867,6,POST,/purchasePlaces,0.600000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769867,6,POST,/showSummary,0.100000,0.000000,7,7,7,7,7,7,7,7,7,7,7,3,0,7,7.1480653338464135,6.984575000387849,7.2714939997240435,2542.0
1626769867,6,,Aggregated,1.800000,0.000000,7,12,12,13,13,18,20,20,20,20,20,23,0,7,9.217326782559015,5.08244600132457,20.315867999670445,1845.1739130434783
1626769868,6,GET,/,0.100000,0.000000,6,6,12,12,12,12,12,12,12,12,12,3,0,6,7.756239998949847,5.111711998324608,12.470267998651252,1040.0
1626769868,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.300000,0.000000,6,6,18,18,18,18,18,18,18,18,18,4,0,5.379903999710223,8.735953750147019,5.379903999710223,18.496765000236337,1554.0
1626769868,6,GET,/displayPoints,0.300000,0.000000,5,5,11,11,11,11,11,11,11,11,11,3,0,5.08244600132457,7.105722666892689,5.08244600132457,10.95516599889379,2035.3333333333333
1626769868,6,GET,/logout,0.400000,0.000000,13,13,13,13,13,13,13,13,13,13,13,7,0,13,12.572132143239807,11.967164000452613,13.385464999373653,1220.0
1626769868,6,POST,/purchasePlaces,0.600000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769868,6,POST,/showSummary,0.200000,0.000000,7,7,7,7,7,7,7,7,7,7,7,4,0,7,7.094296000104805,6.93298799887998,7.2714939997240435,2542.0
1626769868,6,,Aggregated,1.900000,0.000000,7,12,12,13,13,18,20,20,20,20,20,27,0,7,9.230524925913885,5.08244600132457,20.315867999670445,1794.851851851852
1626769869,6,GET,/,0.100000,0.000000,6,6,12,12,12,12,12,12,12,12,12,4,0,6,7.245657749081147,5.111711998324608,12.470267998651252,1040.0
1626769869,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.400000,0.000000,6,6,18,18,18,18,18,18,18,18,18,4,0,5.379903999710223,8.735953750147019,5.379903999710223,18.496765000236337,1554.0
1626769869,6,GET,/displayPoints,0.300000,0.000000,5,5,5,11,11,11,11,11,11,11,11,5,0,5,6.278268000096432,4.607123999448959,10.95516599889379,2035.2
1626769869,6,GET,/logout,0.300000,0.000000,13,13,13,13,13,13,13,13,13,13,13,7,0,13,12.572132143239807,11.967164000452613,13.385464999373653,1220.0
